,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,corr_mean,corr_std,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std
0,832,10000,Bolt,4,16,True,0.9027711092534642,0.037518823282686,Mnist,9.440579891204834,0.0063,0.0054,0.009322265625000001,0.010178785207697594,47552320536524.32,24791031355841.16,True,256,0.0,0.24609375,0.7578125,0.9921875,1.0,0.61328125,0.98046875,1.0,-0.9998937943214332,0.9997876000508376,2.2653567610286994e-05,1.1328034193275655e-05
1,832,10000,Bolt,4,32,True,0.9369237844184439,0.02444817780107512,Mnist,10.647499799728394,0.0036,0.0063,0.004891796875,0.004107582914104137,47543793631096.74,24786837169590.965,True,256,0.0,0.34375,0.90234375,1.0,1.0,0.78125,1.0,1.0,-0.9998028299455782,0.9996056990602769,3.423279846188613e-05,1.711992360804179e-05
2,832,10000,Bolt,4,64,True,0.9703777852310547,0.009616273707742476,Mnist,10.016767024993896,0.0022,0.0023,0.00275703125,0.0023518836730424056,47535266776575.414,24782285039497.09,True,256,0.0,0.52734375,0.9609375,1.0,1.0,0.87890625,1.0,1.0,-0.99971379552699,0.9994276732767293,3.5189032647292406e-05,1.75997271755693e-05
3,832,10000,Bolt,4,16,True,0.9014273808230565,0.03767164611203109,Mnist,9.36232304573059,0.0056,0.0031,0.00853125,0.012435971953872365,47552403962690.875,24791092852860.61,True,256,5.0,0.2890625,0.7734375,1.0,1.0,0.63671875,0.98046875,1.0,-0.9998945759887597,0.9997891632182715,2.249443516178126e-05,1.1248439283618793e-05
4,832,10000,Bolt,4,32,True,0.9391446398979444,0.023832445721174673,Mnist,9.35680890083313,0.00345,0.0033,0.004703125000000001,0.004558078979611366,47542275805161.164,24786050098727.17,True,256,5.0,0.3671875,0.92578125,1.0,1.0,0.8203125,0.99609375,1.0,-0.999786807565984,0.999573660914369,3.639998898663934e-05,1.820402998334096e-05
5,832,10000,Bolt,4,64,True,0.9740655045860753,0.008044335128652652,Mnist,10.01609206199646,0.002,0.0026,0.0026871093750000003,0.0035805286473211064,47533411001925.5,24781280591567.402,True,256,5.0,0.546875,0.96484375,1.0,1.0,0.8984375,1.0,1.0,-0.9996945134305241,0.9993891205033458,3.5780017246937615e-05,1.789563728905584e-05
6,832,10000,PQ,4,16,,0.8996957315977125,0.03905461594834689,Mnist,8.332710981369019,0.0062,0.0093,0.008131640625000002,0.006451536187866392,2370788826880.8535,2646887672800.3853,True,256,,0.2265625,0.7890625,1.0,1.0,0.6328125,0.98046875,1.0,-0.19359807646088353,0.04517458005127652,0.04836454115800913,0.08771752870391672
7,832,10000,PQ,4,32,,0.9364082342712217,0.02520753179043529,Mnist,14.078041076660156,0.0036,0.003,0.004598046875,0.004604833153633553,1579260637792.4517,1842396073128.5784,True,256,,0.38671875,0.90234375,1.0,1.0,0.8046875,1.0,1.0,-0.15519696913537626,0.029687785043172824,0.04032541105092992,0.07484441070892285
8,832,10000,PQ,4,64,,0.9723516938559771,0.009044504631370586,Mnist,9.055513143539429,0.0021,0.0029,0.0028234375,0.0022454636344402795,640818108134.1653,757434699029.8389,True,256,,0.51953125,0.9609375,1.0,1.0,0.9140625,1.0,1.0,-0.09767384731058552,0.012600870515730913,0.019845642849501712,0.05532350375093163
9,832,10000,PQ,8,8,,0.9508600256764175,0.015772682766592112,Mnist,13.120865821838379,0.0030499999999999998,0.0018,0.0040203125000000004,0.005411444172061997,743325009566.9469,976022976883.3995,True,256,,0.42578125,0.94921875,1.0,1.0,0.82421875,1.0,1.0,-0.1013379623598678,0.014702563155631884,0.015661052471061847,0.06658213379264671
10,832,10000,PQ,8,16,,0.9753563298598544,0.007871050066180696,Mnist,14.290409088134766,0.0019,0.0019,0.00235625,0.001885046004080537,357778640201.8303,510680005479.61694,True,256,,0.53515625,0.98828125,1.0,1.0,0.96484375,1.0,1.0,-0.06737998636014873,0.006960485271840071,0.007956664366680792,0.049197791718188416
11,832,10000,PQ,8,32,,0.9875266112292752,0.004020754354004439,Mnist,14.321534156799316,0.0015,0.0023,0.001686328125,0.0010440720843571984,137853387541.4016,238525101725.67365,True,256,,0.71484375,1.0,1.0,1.0,0.96484375,1.0,1.0,-0.03604889979778883,0.002597033000630929,0.003576917791713034,0.036020963673948386
12,832,10000,OPQ,4,16,False,0.9181050062179565,0.02784309722483158,Mnist,8.129846096038818,0.00395,0.004,0.005832421875,0.00743912295801874,1436677308416.0,1798018695168.0,True,256,5.0,0.375,0.91015625,0.99609375,1.0,0.76171875,0.98046875,1.0,-0.14498703181743622,0.027641883119940758,0.031190721318125725,0.08136741816997528
13,832,10000,OPQ,4,32,False,0.9514689445495605,0.016394969075918198,Mnist,8.245057821273804,0.0026,0.0047,0.003309375,0.002778655742328474,895291359232.0,1169710120960.0,True,256,5.0,0.4453125,0.96484375,1.0,1.0,0.890625,1.0,1.0,-0.11119670420885086,0.016809741035103798,0.020106732845306396,0.06667108088731766
14,832,10000,OPQ,4,64,False,0.9801599979400635,0.006066168658435345,Mnist,8.686203002929688,0.0017,0.0026,0.0020449218750000003,0.0013755586910948164,300399067136.0,410282557440.0,True,256,5.0,0.62890625,1.0,1.0,1.0,0.9765625,1.0,1.0,-0.061198651790618896,0.0059112305752933025,0.008272157050669193,0.04653985798358917
15,832,10000,OPQ,8,8,False,0.9544867873191833,0.014950149692595005,Mnist,10.747197151184082,0.0026,0.0035,0.0033390625,0.0033513927695950152,654063632384.0,875138318336.0,True,256,5.0,0.44921875,0.95703125,1.0,1.0,0.8359375,1.0,1.0,-0.09468373656272888,0.013087738305330276,0.014375646598637104,0.06420846283435822
16,832,10000,OPQ,8,16,False,0.9772562980651855,0.007826550863683224,Mnist,11.060832023620605,0.0018,0.0028,0.002085546875,0.0018190791405757294,299940970496.0,433237491712.0,True,256,5.0,0.59375,0.9921875,1.0,1.0,0.953125,1.0,1.0,-0.06064517796039581,0.005902962293475866,0.007051863241940737,0.047171253710985184
17,832,10000,OPQ,8,32,False,0.9885371923446655,0.003906845580786467,Mnist,11.719102144241333,0.0014,0.0024,0.00155703125,0.0011744801771521893,132548165632.0,219039481856.0,True,256,5.0,0.73046875,0.99609375,1.0,1.0,0.984375,1.0,1.0,-0.036621272563934326,0.0025313692167401314,0.00336013943888247,0.034500040113925934
